Change component parameters: Designator = "L2" ("L2"); Footprint = "SRN3015TA-4R7M"; UniqueID = "\FBAZFRPN\CSXBUNMU" ("\FBAZFRPN\CSXBUNMU")
Change component parameters (AddParameter): Name = "Digikey Part Number"; Value = "SRN3015TA-4R7MCT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Impedance"; Value = "84mOhms"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Bourns"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Material"; Value = "Wirewound"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "SRN4018-4R7M"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Rated Current"; Value = "1.9A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "0.2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "4.7uH"; VariantName = "[No Variations]"
